date,spot
2004-05-14,0.03094
2004-05-17,0.03013
2004-05-18,0.03068
2004-05-19,0.03145
2004-05-20,0.03091
2004-05-21,0.0315
2004-05-24,0.03142
2004-05-25,0.03131
2004-05-26,0.03044
2004-05-27,0.02967
2004-05-28,0.03076
2004-05-31,0.03076
2004-06-01,0.0313
2004-06-02,0.03179
2004-06-03,0.03171
2004-06-04,0.03247
2004-06-07,0.03198
2004-06-08,0.03243
2004-06-09,0.03312
2004-06-10,0.03339
2004-06-11,0.03347
2004-06-14,0.03489
2004-06-15,0.03314
2004-06-16,0.03368
2004-06-17,0.03329
2004-06-18,0.03343
2004-06-21,0.03321
2004-06-22,0.03346
2004-06-23,0.03327
2004-06-24,0.03287
2004-06-25,0.03293
2004-06-28,0.03417
2004-06-29,0.03387
2004-06-30,0.03258
2004-07-01,0.03186
2004-07-02,0.03061
2004-07-05,0.03061
2004-07-06,0.03076
2004-07-07,0.03067
2004-07-08,0.03059
2004-07-09,0.03055
2004-07-12,0.03067
2004-07-13,0.03113
2004-07-14,0.0314
2004-07-15,0.03169
2004-07-16,0.03056
2004-07-19,0.03078
2004-07-20,0.03198
2004-07-21,0.03249
2004-07-22,0.03235
2004-07-23,0.03226
2004-07-26,0.03273
2004-07-27,0.03354
2004-07-28,0.03309
2004-07-29,0.03275
2004-07-30,0.0319
2004-08-02,0.0317
2004-08-03,0.03155
2004-08-04,0.03166
2004-08-05,0.03147
2004-08-06,0.02864
2004-08-09,0.0292
2004-08-10,0.03007
2004-08-11,0.02977
2004-08-12,0.02975
2004-08-13,0.02911
2004-08-16,0.02955
2004-08-17,0.02892
2004-08-18,0.02894
2004-08-19,0.0288
2004-08-20,0.02913
2004-08-23,0.0296
2004-08-24,0.02961
2004-08-25,0.02962
2004-08-26,0.02949
2004-08-27,0.02951
2004-08-30,0.02951
2004-08-31,0.02861
2004-09-01,0.02838
2004-09-02,0.02911
2004-09-03,0.03083
2004-09-06,0.03083
2004-09-07,0.03058
2004-09-08,0.02941
2004-09-09,0.02955
2004-09-10,0.02948
2004-09-13,0.02932
2004-09-14,0.02901
2004-09-15,0.02947
2004-09-16,0.02851
2004-09-17,0.0295
2004-09-20,0.02872
2004-09-21,0.02908
2004-09-22,0.02894
2004-09-23,0.02967
2004-09-24,0.03012
2004-09-27,0.0298
2004-09-28,0.02962
2004-09-29,0.03037
2004-09-30,0.03032
2004-10-01,0.03059
2004-10-04,0.03092
2004-10-05,0.03071
2004-10-06,0.03127
2004-10-07,0.03138
2004-10-08,0.03011
2004-10-11,0.03011
2004-10-12,0.02967
2004-10-13,0.02924
2004-10-14,0.0288
2004-10-15,0.02935
2004-10-18,0.02943
2004-10-19,0.02953
2004-10-20,0.0291
2004-10-21,0.02953
2004-10-22,0.02933
2004-10-25,0.02917
2004-10-26,0.02929
2004-10-27,0.03022
2004-10-28,0.03012
2004-10-29,0.02978
2004-11-01,0.03035
2004-11-02,0.0303
2004-11-03,0.03009
2004-11-04,0.03049
2004-11-05,0.03246
2004-11-08,0.03259
2004-11-09,0.03258
2004-11-10,0.033
2004-11-11,0.033
2004-11-12,0.0328
2004-11-15,0.03322
2004-11-16,0.03355
2004-11-17,0.03279
2004-11-18,0.03305
2004-11-19,0.03379
2004-11-22,0.03386
2004-11-23,0.0341
2004-11-24,0.03439
