date,vol
2004-05-14,130.477
2004-05-17,130.094
2004-05-18,128.917
2004-05-19,130.445
2004-05-20,130.824
2004-05-21,131.078
2004-05-24,130.406
2004-05-25,130.573
2004-05-26,130.784
2004-05-27,130.339
2004-05-28,128.205
2004-05-31,128.125
2004-06-01,134.337
2004-06-02,140.291
2004-06-03,139.843
2004-06-04,128.823
2004-06-07,126.16
2004-06-08,116.775
2004-06-09,117.314
2004-06-10,117.88
2004-06-11,118.103
2004-06-14,120.518
2004-06-15,120.686
2004-06-16,125.153
2004-06-17,125.006
2004-06-18,120.543
2004-06-21,118.509
2004-06-22,119.204
2004-06-23,120.69
2004-06-24,120.908
2004-06-25,118.505
2004-06-28,120.046
2004-06-29,119.848
2004-06-30,119.748
2004-07-01,111.393
2004-07-02,111.665
2004-07-05,111.648
2004-07-06,111.038
2004-07-07,112.504
2004-07-08,113.374
2004-07-09,113.495
2004-07-12,121.087
2004-07-13,126.539
2004-07-14,126.221
2004-07-15,126.18
2004-07-16,126.411
2004-07-19,119.745
2004-07-20,118.092
2004-07-21,112.73
2004-07-22,112.346
2004-07-23,111.704
2004-07-26,111.444
2004-07-27,116.285
2004-07-28,113.236
2004-07-29,111.351
2004-07-30,111.759
2004-08-02,115.605
2004-08-03,116.44
2004-08-04,116.683
2004-08-05,117.766
2004-08-06,115.564
2004-08-09,115.859
2004-08-10,112.314
2004-08-11,108.349
2004-08-12,107.525
2004-08-13,105.191
2004-08-16,106.531
2004-08-17,108.036
2004-08-18,113.857
2004-08-19,111.034
2004-08-20,111.065
2004-08-23,110.478
2004-08-24,111.674
2004-08-25,113.899
2004-08-26,114.169
2004-08-27,114.398
2004-08-30,112.744
2004-08-31,113.322
2004-09-01,117.209
2004-09-02,115.038
2004-09-03,108.832
2004-09-06,108.814
2004-09-07,108.562
2004-09-08,108.909
2004-09-09,108.725
2004-09-10,107.614
2004-09-13,105.33
2004-09-14,103.684
2004-09-15,103.722
2004-09-16,103.829
2004-09-17,103.967
2004-09-20,104.316
2004-09-21,103.472
2004-09-22,105
2004-09-23,104.287
2004-09-24,104.408
2004-09-27,104.376
2004-09-28,104.048
2004-09-29,104.173
2004-09-30,104.393
2004-10-01,101.953
2004-10-04,101.749
2004-10-05,101.696
2004-10-06,101.682
2004-10-07,101.811
2004-10-08,99.702
2004-10-11,99.866
2004-10-12,98.828
2004-10-13,95.788
2004-10-14,95.907
2004-10-15,95.894
2004-10-18,96.105
2004-10-19,96.821
2004-10-20,96.894
2004-10-21,97.048
2004-10-22,97.049
2004-10-25,96.713
2004-10-26,98.323
2004-10-27,98.706
2004-10-28,101.284
2004-10-29,99.868
2004-11-01,103.743
2004-11-02,105.465
2004-11-03,106.258
2004-11-04,107.1
2004-11-05,100.064
2004-11-08,95.225
2004-11-09,91.225
2004-11-10,89.679
2004-11-11,89.905
2004-11-12,88.17
2004-11-15,89.683
2004-11-16,89.648
2004-11-17,88.026
2004-11-18,88.097
2004-11-19,88.997
2004-11-22,92.053
2004-11-23,90.878
2004-11-24,90.861
2004-11-25,91.159
2004-11-26,91.075
2004-11-29,97.682
2004-11-30,98.026
2004-12-01,94.794
2004-12-02,94.917
2004-12-03,90.185
2004-12-06,90.129
2004-12-07,88.509
2004-12-08,89.617
2004-12-09,89.768
2004-12-10,89.474
2004-12-13,88.219
2004-12-14,87.76
2004-12-15,87.223
2004-12-16,87.315
2004-12-17,86.55
2004-12-20,84.913
2004-12-21,83.93
2004-12-22,83.924
2004-12-23,84.083
2004-12-24,84.077
2004-12-27,84.202
2004-12-28,88.05
2004-12-29,88.865
2004-12-30,89.1
2004-12-31,84.962
2005-01-03,83.858
2005-01-04,86.755
2005-01-05,86.431
2005-01-06,83.394
2005-01-07,77.871
2005-01-10,76.969
2005-01-11,76.145
2005-01-12,74.709
2005-01-13,75.336
2005-01-14,75.451
2005-01-17,75.609
2005-01-18,76.179
2005-01-19,75.013
2005-01-20,74.775
2005-01-21,74.798
2005-01-24,74.755
2005-01-25,74.872
2005-01-26,75.652
2005-01-27,77.552
2005-01-28,76.326
2005-01-31,76.356
2005-02-01,74.615
2005-02-02,73.823
2005-02-03,73.169
2005-02-04,73.961
2005-02-07,72.87
2005-02-08,71.288
2005-02-09,76.042
2005-02-10,77.606
2005-02-11,76.339
2005-02-14,79.686
2005-02-15,80.006
2005-02-16,76.044
2005-02-17,73.68
2005-02-18,75.266
2005-02-21,75.097
2005-02-22,78.423
2005-02-23,78.381
2005-02-24,79.143
2005-02-25,78.903
2005-02-28,84.575
2005-03-01,85.816
2005-03-02,88.178
2005-03-03,88.322
2005-03-04,80.416
2005-03-07,78.764
2005-03-08,82.687
2005-03-09,81.087
2005-03-10,81.202
2005-03-11,78.37
2005-03-14,81.453
2005-03-15,79.828
2005-03-16,81.095
2005-03-17,80.915
2005-03-18,79.021
2005-03-21,77.34
2005-03-22,81.268
2005-03-23,83.708
2005-03-24,82.923
2005-03-25,82.923
2005-03-28,85.382
2005-03-29,88.955
2005-03-30,90.798
2005-03-31,83.714
2005-04-01,78.047
2005-04-04,75.66
2005-04-05,75.169
2005-04-06,75.926
2005-04-07,79.427
2005-04-08,81.373
2005-04-11,79.75
2005-04-12,76.558
2005-04-13,77.646
2005-04-14,77.674
2005-04-15,81.688
2005-04-18,89.574
2005-04-19,91.13
2005-04-20,90.617
2005-04-21,92.561
2005-04-22,90.181
2005-04-25,89.933
2005-04-26,88.672
2005-04-27,91.014
2005-04-28,91.071
2005-04-29,92.263
2005-05-02,92.554
2005-05-03,91.308
2005-05-04,90.507
2005-05-05,89.506
2005-05-06,87.617
2005-05-09,87.535
2005-05-10,88.456
2005-05-11,90.025
2005-05-12,91.081
2005-05-13,93.494
2005-05-16,96.598
2005-05-17,94.668
2005-05-18,92.584
2005-05-19,91.112
2005-05-20,89.559
2005-05-23,90.301
2005-05-24,89.805
2005-05-25,85.512
2005-05-26,83.521
2005-05-27,82.764
2005-05-30,82.789
2005-05-31,85.081
2005-06-01,90.633
2005-06-02,90.627
2005-06-03,89.845
2005-06-06,90.317
2005-06-07,92.205
2005-06-08,91.702
2005-06-09,91.409
2005-06-10,91.716
2005-06-13,90.919
2005-06-14,88.996
2005-06-15,79.929
2005-06-16,79.951
2005-06-17,79.672
2005-06-20,79.646
2005-06-21,81.224
2005-06-22,82.8
2005-06-23,82.837
2005-06-24,82.23
2005-06-27,82.359
2005-06-28,82.639
2005-06-29,84.249
2005-06-30,83.518
2005-07-01,85.979
2005-07-04,85.875
2005-07-05,89.359
2005-07-06,90.455
2005-07-07,90.502
2005-07-08,84.955
2005-07-11,84.907
2005-07-12,82.988
2005-07-13,82.182
2005-07-14,78.254
2005-07-15,76.364
2005-07-18,76.306
2005-07-19,75.978
2005-07-20,74.858
2005-07-21,76.509
2005-07-22,76.203
2005-07-25,75.361
2005-07-26,73.174
2005-07-27,70.594
2005-07-28,68.725
2005-07-29,67.631
2005-08-01,69.666
2005-08-02,68.941
2005-08-03,66.952
2005-08-04,65.406
2005-08-05,64.473
2005-08-08,65.715
2005-08-09,66.17
2005-08-10,65.921
2005-08-11,65.492
2005-08-12,66.606
2005-08-15,67.043
2005-08-16,68.297
2005-08-17,69.084
2005-08-18,69.757
2005-08-19,70.087
2005-08-22,70.218
2005-08-23,70.523
2005-08-24,70.994
2005-08-25,71.043
2005-08-26,71.043
2005-08-29,71.052
2005-08-30,72.903
2005-08-31,81.133
2005-09-01,96.259
2005-09-02,91.512
2005-09-05,91.573
2005-09-06,92.261
2005-09-07,92.279
2005-09-08,90.669
2005-09-09,87.571
2005-09-12,88.207
2005-09-13,88.224
2005-09-14,88.213
2005-09-15,89.02
2005-09-16,88.251
2005-09-19,91.104
2005-09-20,87.024
2005-09-21,87.102
2005-09-22,87.149
2005-09-23,85.561
2005-09-26,84.581
2005-09-27,83.695
2005-09-28,81.988
2005-09-29,82.137
2005-09-30,82.149
2005-10-03,84.347
2005-10-04,85.13
2005-10-05,83.873
2005-10-06,83.121
2005-10-07,82.325
2005-10-10,82.245
2005-10-11,81.871
2005-10-12,82.836
2005-10-13,85.23
2005-10-14,83.666
2005-10-17,83.66
2005-10-18,83.344
2005-10-19,82.679
2005-10-20,81.914
2005-10-21,79.873
2005-10-24,79.538
2005-10-25,79.238
2005-10-26,78.726
2005-10-27,75.583
2005-10-28,74.816
2005-10-31,74.853
2005-11-01,73.267
2005-11-02,74.053
2005-11-03,74.794
2005-11-04,70.079
2005-11-07,71.708
2005-11-08,73.297
2005-11-09,75.037
2005-11-10,73.376
2005-11-11,73.376
2005-11-14,75.035
2005-11-15,75.032
